Avg_Screenwriter_Per_Screenwriter,Avg_Producer_Per_Producer,Avg_Director_Per_Director,budget,movies,starpower,Average_Billing,Movies_Producer_Per_Producer,Running_Time,Movies_Screenwriter_Per_Screenwriter,Sentiment_Score_imdb,Num_Executive,Movies_Director_Per_Director,Value,Genre_y_Action,Genre_y_Adventure,Genre_y_Comedy,Genre_y_Drama,Genre_y_Horror,Genre_y_Other,starpower,Genre_y_Thriller/Suspense,Num_Screenwriter,cluster,Year_x
45980861.0,15350247.5,807529062.0,200000000,2,120,1.0,10.75,129.0,3.666666666666667,0.5886626243591309,0,8.5,95.47162,0,0,0,0,0,0,120,1,3,0,2022
238534963.0,63153980.66666666,235496960.0,85900000,14,909,3.8,9.333333333333334,126.0,1.0,0.9733143448829652,4,8.0,95.47162,0,0,0,0,0,0,909,1,1,1,2022
27599619.5,17795319.0,10465223.0,13000000,1,11,0.0238095238095238,2.666666666666667,115.0,1.75,0.933239996433258,2,3.0,95.47162,0,0,0,1,0,0,11,0,4,0,2022
40166138.0,36826938.5,88315727.66666667,45000000,2,121,0.6428571428571429,1.166666666666667,97.0,1.0,0.6308128833770752,7,4.333333333333333,95.47162,0,1,0,0,0,0,121,0,2,0,2022
53268228.0,33064699.5,136539552.0,24000000,3,136,1.454545454545455,10.0,125.0,3.0,0.9973192811012268,3,1.0,95.47162,0,0,0,1,0,0,136,0,1,1,2022
129594532.0,135653708.0,169873097.0,68000000,4,236,0.3846153846153846,4.5,131.0,6.0,0.5116400718688965,0,4.0,95.47162,0,0,0,0,1,0,236,0,1,1,2022
188500243.0,166754003.2,203891589.0,90000000,4,326,0.1935483870967742,9.2,100.0,4.5,0.9958817958831788,7,1.0,95.47162,0,1,0,0,0,0,326,0,2,1,2022
45352337.0,49185267.75,45352337.0,4500000,1,26,0.0909090909090909,26.25,102.0,1.0,0.9953089356422424,6,1.0,95.55136,0,0,0,0,1,0,26,0,1,0,2022
152520210.0,104057222.8888889,143347635.0,60000000,2,144,0.5,18.55555555555556,104.0,3.5,0.7924092411994934,0,4.0,95.55136,0,0,0,0,0,1,144,0,2,1,2022
37825937.0,32782595.33333333,27084366.0,15000000,2,108,0.2,14.0,114.0,6.0,0.9998276233673096,7,9.0,95.55136,0,0,0,1,0,0,108,0,1,0,2022
59756250.0,57373939.75,35339490.0,50000000,3,188,0.3125,3.5,135.0,7.0,0.9995731711387634,1,5.0,95.55136,1,0,0,0,0,0,188,0,1,0,2022
216049734.0,74892907.0,216049734.0,17000000,0,0,0.0,23.0,115.0,1.0,0.8761898875236511,1,1.0,95.55136,0,0,0,0,1,0,0,0,1,1,2022
85415801.0,52546241.66666666,74958314.0,80000000,0,0,0.0,22.0,134.0,9.0,0.9997429251670836,0,12.0,95.61739,0,0,1,0,0,0,0,0,1,0,2022
143500614.0,174711054.6666667,83638998.0,50000000,2,147,2.5,4.333333333333333,106.0,2.0,0.9781305193901062,7,5.0,95.61739,0,0,0,0,0,1,147,0,1,0,2022
0.0,0.0,4321594.0,250000,0,0,0.0,0.0,138.0,0.0,0.6005851626396179,0,3.0,95.61739,0,0,0,0,1,0,0,0,0,0,2022
